Member_number,Date,itemDescription,category
1003,08/02/2025,Chicken Breast,Meat
1001,18/05/2025,Muffin,Bakery
1005,15/01/2025,Cat Litter,Pet Supplies
1001,23/01/2025,Bacon,Meat
1001,03/03/2025,Bagel,Bakery
1001,25/05/2025,Croissant,Bakery
1006,10/06/2025,Shampoo,Personal Care
1005,30/05/2025,Chicken Breast,Meat
1002,12/01/2025,Cat Litter,Pet Supplies
1003,18/04/2025,Soda,Beverages
1005,20/03/2025,Cat Litter,Pet Supplies
1001,29/05/2025,Toothpaste,Personal Care
1003,25/01/2025,Dog Food,Pet Supplies
1005,16/01/2025,Toothpaste,Personal Care
1004,24/06/2025,Shampoo,Pet Supplies
1003,30/04/2025,Deodorant,Personal Care
1003,18/03/2025,Banana,Fruits
1006,04/03/2025,Muffin,Bakery
1005,07/05/2025,Nuts,Snacks
1003,05/06/2025,Bread,Bakery
1005,18/04/2025,Tea,Beverages
1002,06/05/2025,Chicken Breast,Meat
1006,20/01/2025,Pet Treats,Pet Supplies
1003,27/06/2025,Nuts,Snacks
1005,27/04/2025,Bread,Bakery
1003,02/05/2025,Bread,Bakery
1006,29/06/2025,Tomato,Vegetables
1003,09/04/2025,Chips,Snacks
1004,01/04/2025,Soda,Beverages
1004,16/01/2025,Orange,Fruits
